facility_id,zip_code,block_lot,gross_sq_ft,longitude,latitude,latitidu1,longitude1,supervisor_district,land_id
710,94133,77024,9350,-122.4093515,37.80254788,37.80254788,-122.4093515,3,338
702,94133,160015,16920,-122.4098792,37.79703411,37.79703411,-122.4098792,3,337
695,94111,206017,18790,-122.4013502,37.79551871,37.79551871,-122.4013502,3,336
724,94109,216003,9600,-122.4164952,37.79337686,37.79337686,-122.4164952,3,334
685,94108,274010,4500,-122.4115922,37.78999924,37.78999924,-122.4115922,3,333
698,94123,515031,14000,-122.4367203,37.79858185,37.79858185,-122.4367203,2,331
719,94115,638016,13400,-122.4298802,37.78971868,37.78971868,-122.4298802,2,329
712,94109,693018,8000,-122.419321,37.7866412,37.7866412,-122.419321,6,328
729,94115,756001,12600,-122.4307347,37.78051537,37.78051537,-122.4307347,5,641
446,94110,759001,,-122.4257413,37.78105362,37.78105362,-122.4257413,5,174
717,94102,837025,16100,-122.4212113,37.77493241,37.77493241,-122.4212113,5,327
692,94115,1032001,14300,-122.4467233,37.78562526,37.78562526,-122.4467233,2,3
704,94117,1200016,8000,-122.4402718,37.77540972,37.77540972,-122.4402718,5,326
1207,94117,1215010,5600,-122.4383662,37.77330114,37.77330114,-122.4383662,5,325
716,94121,1494001,4400,-122.5026191,37.77943863,37.77943863,-122.5026191,1,324
696,94121,1518009,15900,-122.4860616,37.77899265,37.77899265,-122.4860616,1,323
713,94118,1532007,8500,-122.4709114,37.77984011,37.77984011,-122.4709114,1,320
705,94122,1735064,5900,-122.4736871,37.76393037,37.76393037,-122.4736871,5,322
706,94122,1799029,12000,-122.50471,37.76140573,37.76140573,-122.50471,4,319
728,94130,1939026,18000,-122.369211,37.8266683,37.8266683,-122.369211,6,1041
688,94130,1939030,5040,-122.3670518,37.82705933,37.82705933,-122.3670518,6,1106
700,94116,2102006,15900,-122.4905439,37.75098636,37.75098636,-122.4905439,4,321
723,94116,2199003,7350,-122.4752694,37.74761094,37.74761094,-122.4752694,7,318
3168,94116,2305014,,-122.502974,37.74424389,37.74424389,-122.502974,4,317
694,94117,2630047,11300,-122.4525864,37.76344993,37.76344993,-122.4525864,5,316
3269,94114,2719C011,,-122.4497724,37.75666164,37.75666164,-122.4497724,7,52
707,94114,2801001,7600,-122.441105,37.75312935,37.75312935,-122.441105,8,340
703,94131,2842009,10300,-122.4560767,37.75117125,37.75117125,-122.4560767,7,582
720,94127,2982029,8450,-122.458635,37.74003984,37.74003984,-122.458635,7,342
697,94112,3180001,12138,-122.4529266,37.72348863,37.72348863,-122.4529266,7,588
730,94114,3542025,13500,-122.4308742,37.76707871,37.76707871,-122.4308742,8,313
689,94110,3594059,,-122.4150109,37.76001239,37.76001239,-122.4150109,9,314
732,94110,3594059,8712,-122.4153485,37.75983207,37.75983207,-122.4153485,9,314
731,94110,3594059,16488,-122.4150418,37.7602554,37.7602554,-122.4150418,9,314
691,94105,3753313,,-122.4041202,37.77945653,37.77945653,-122.4041202,6,951
733,94107,3786039,8000,-122.3967101,37.77730564,37.77730564,-122.3967101,6,312
690,94107,3788006,,-122.3910479,37.78054991,37.78054991,-122.3910479,6,311
711,94103,3935002,8300,-122.4042958,37.76615647,37.76615647,-122.4042958,10,343
718,94107,4097024,6950,-122.3992439,37.75741778,37.75741778,-122.3992439,10,344
275,94110,4279001,7000,-122.40358,37.75174903,37.75174903,-122.40358,10,345
708,94124,4502A002,11420,-122.3868525,37.7466393,37.7466393,-122.3868525,10,781
699,94124,4792018,12100,-122.3850667,37.72752662,37.72752662,-122.3850667,10,310
1640,94124,5236017,,-122.3855761,37.74087817,37.74087817,-122.3855761,10,494
150,94124,5286A021,6400,-122.4016405,37.74463341,37.74463341,-122.4016405,10,1236
734,94124,5286A022,15000,-122.4012356,37.74526234,37.74526234,-122.4012356,10,309
714,94110,5720059,10900,-122.4211661,37.73632275,37.73632275,-122.4211661,9,346
725,94134,5924004,9300,-122.405425,37.73158521,37.73158521,-122.405425,9,347
727,94134,6194010,8450,-122.4004336,37.71662054,37.71662054,-122.4004336,10,348
726,94112,6338024,10800,-122.4316787,37.71634867,37.71634867,-122.4316787,11,308
693,94131,6551043,14000,-122.4264855,37.74878232,37.74878232,-122.4264855,8,307
715,94112,7147046,5900,-122.4585807,37.71085948,37.71085948,-122.4585807,11,349
701,94132,7296002,11500,-122.4789029,37.72781162,37.72781162,-122.4789029,7,306
709,94131,7540013,15000,-122.4333997,37.74028306,37.74028306,-122.4333997,8,305
139,94158,8719007,60000,-122.3893756,37.7722714,37.7722714,-122.3893756,6,756
1208,94158,8719007,,-122.3891388,37.77272155,37.77272155,-122.3891388,6,755
1624,94158,8719007,,-122.3890517,37.77245003,37.77245003,-122.3890517,6,755
738,94105,9900022H,2500,-122.3884401,37.79022103,37.79022103,-122.3884401,6,369
453,94133,130043,8000,-122.4098629,37.79864532,37.79864532,-122.4098629,3,163
1750,94102,338023,27500,-122.4129067,37.78364565,37.78364565,-122.4129067,6,548
1310,94103,341014,,-122.4084772,37.78399556,37.78399556,-122.4084772,6,159
2,94102,345007,50000,-122.4149739,37.78201068,37.78201068,-122.4149739,6,332
1182,94109,694004,37125,-122.420049,37.78611645,37.78611645,-122.420049,6,374
1190,94115,755013,18000,-122.4323904,37.78016114,37.78016114,-122.4323904,5,193
1229,94117,1263011,,-122.4551899,37.76775135,37.76775135,-122.4551899,5,56
814,94121,1263011,11800,-122.4944141,37.76923998,37.76923998,-122.4944141,1,56
1407,94118,1538007,13000,-122.4644607,37.78000129,37.78000129,-122.4644607,1,812
1231,94117,1700001,13700,-122.455226,37.76782399,37.76782399,-122.455226,5,803
1740,94116,2353002,18070,-122.4814608,37.74373379,37.74373379,-122.4814608,4,177
1826,94112,2844008,,-122.4467547,37.75032177,37.75032177,-122.4467547,8,668
897,94112,3179011,18500,-122.446251,37.72477013,37.72477013,-122.446251,11,661
1130,94110,3577001,25000,-122.4219697,37.7626807,37.7626807,-122.4219697,8,556
3291,94107,3777047,,-122.3998038,37.77772102,37.77772102,-122.3998038,6,373
3161,94110,4108037,,-122.3887934,37.76016382,37.76016382,-122.3887934,10,799
616,94124,5231006,44210,-122.3958866,37.74697476,37.74697476,-122.3958866,10,955
173,94124,5423A010,16000,-122.3980866,37.72964172,37.72964172,-122.3980866,10,567
3069,94134,6190066,,-122.4163893,37.72057657,37.72057656,-122.4163893,9,779
1551,94132,7283004,10000,-122.4996778,37.72027733,37.72027733,-122.4996778,7,809
1308,94124,7521005,19332,-122.4414828,37.74419599,37.74419599,-122.4414828,8,175
1309,94158,8719007,185855,-122.3891831,37.77255391,37.77255391,-122.3891831,6,755
190,94124,,90000,-122.3674364,37.72050242,37.72050242,-122.3674364,10,